time,seconds_elapsed,relativeAltitude,pressure
1670841449516416000,226.022416015625,-576.4755859375,753.308349609375
1670841449556416000,226.062416015625,-575.965576171875,753.260009765625
1670841449596415500,226.10241552734374,-576.211181640625,753.283447265625
1670841449636416500,226.14241650390625,-575.825439453125,753.246826171875
1670841449676416500,226.18241650390624,-575.873046875,753.25146484375
1670841449716415700,226.22241577148438,-575.828125,753.2470703125
1670841449756416500,226.26241650390625,-576.10546875,753.2734375
1670841449796415700,226.30241577148436,-575.91796875,753.255615234375
1670841449836416300,226.34241625976563,-575.862548828125,753.250244140625
1670841449876416300,226.38241625976562,-575.96826171875,753.26025390625
1670841449916416000,226.422416015625,-576.224365234375,753.284423828125
1670841449956415700,226.4624157714844,-576.327392578125,753.29443359375
1670841449996416000,226.502416015625,-576.02099609375,753.265380859375
1670841450036416300,226.54241625976562,-576.628662109375,753.32275390625
1670841450076416000,226.582416015625,-577.041015625,753.36181640625
1670841450116416000,226.622416015625,-576.3408203125,753.295654296875
1670841450156416300,226.66241625976562,-576.982666015625,753.356201171875
1670841450196416000,226.702416015625,-577.809814453125,753.434326171875
1670841450236415500,226.74241552734375,-577.405517578125,753.396240234375
1670841450276415200,226.78241528320314,-576.99072265625,753.35693359375
1670841450316415500,226.82241552734374,-576.266845703125,753.28857421875
1670841450356415500,226.86241552734376,-576.570556640625,753.3173828125
1670841450396415000,226.9024150390625,-576.81884765625,753.3408203125
1670841450436416000,226.942416015625,-576.499267578125,753.310546875
1670841450476417000,226.9824169921875,-576.229736328125,753.28515625
1670841450516416000,227.022416015625,-576.404052734375,753.301513671875
1670841450556416000,227.062416015625,-576.142578125,753.27685546875
1670841450596415500,227.10241552734374,-575.962890625,753.259765625
1670841450636415700,227.14241577148437,-575.52685546875,753.21875
1670841450676416300,227.18241625976563,-575.66162109375,753.2314453125
1670841450716416000,227.222416015625,-576.332763671875,753.294921875
1670841450756416000,227.262416015625,-576.184814453125,753.28076171875
1670841450796416800,227.30241674804688,-576.66845703125,753.326416015625
1670841450836416500,227.34241650390624,-576.427978515625,753.3037109375
1670841450876416800,227.38241674804686,-577.101806640625,753.367431640625
1670841450916416300,227.4224162597656,-576.166259765625,753.279052734375
1670841450956416300,227.46241625976563,-576.813720703125,753.34033203125
1670841450996416000,227.502416015625,-577.225830078125,753.379150390625
1670841451036416800,227.54241674804686,-578.56298828125,753.505615234375
1670841451076415500,227.58241552734376,-578.850830078125,753.53271484375
1670841451116416300,227.62241625976563,-578.671142578125,753.515869140625
1670841451156416300,227.66241625976562,-578.290771484375,753.479736328125
1670841451196415700,227.70241577148437,-579.4453125,753.5888671875
1670841451236416300,227.74241625976563,-580.49169921875,753.687744140625
1670841451276415000,227.7824150390625,-581.516845703125,753.78466796875
1670841451316415200,227.82241528320313,-581.464111328125,753.77978515625
1670841451356415500,227.86241552734376,-583.68896484375,753.989990234375
1670841451396416300,227.90241625976563,-584.862060546875,754.10107421875
1670841451436416500,227.94241650390626,-585.646728515625,754.17529296875
1670841451476417000,227.9824169921875,-585.504150390625,754.16162109375
1670841451516416300,228.02241625976563,-580.082275390625,753.649169921875
1670841451556416300,228.06241625976563,-582.09033203125,753.8388671875
1670841451596416500,228.10241650390626,-582.658447265625,753.892578125
1670841451636415700,228.14241577148437,-583.85791015625,754.006103515625
1670841451676416300,228.18241625976563,-580.56298828125,753.694580078125
1670841451716416300,228.22241625976562,-579.6884765625,753.61181640625
1670841451756416500,228.26241650390625,-576.808349609375,753.33984375
1670841451796416300,228.30241625976564,-576.02099609375,753.265380859375
1670841451836416800,228.34241674804687,-575.9443359375,753.258056640625
1670841451876416000,228.382416015625,-572.87939453125,752.968505859375
1670841451916416300,228.4224162597656,-572.234619140625,752.90771484375
